timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency,IdleTime
1449844339927,480,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,6500,480,0
1449844339920,502,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,4203,502,0
1449844339972,451,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,5435,451,0
1449844339924,501,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,5759,501,0
1449844339931,625,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,2961,625,0
1449844339968,612,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-23,text,true,4014,612,0
1449844340000,591,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,4598,591,0
1449844339941,662,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,7369,662,0
1449844339952,659,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-22,text,true,4919,659,0
1449844339912,702,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,4842,702,0
1449844339964,663,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,5779,661,0
1449844340000,638,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-19,text,true,4817,638,0
1449844339921,772,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-18,text,true,8173,772,0
1449844339982,711,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,5206,711,0
1449844339941,754,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,8633,754,0
1449844339973,808,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,4139,808,0
1449844339925,870,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,5469,870,0
1449844339997,802,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-14,text,true,5016,802,0
1449844339994,809,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,6900,807,0
1449844339929,878,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-26,text,true,8031,878,0
1449844344162,421,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-19,text,true,4172,421,0
1449844344159,424,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,3573,424,0
1449844344149,434,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,3690,434,0
1449844344184,399,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,5180,399,0
1449844344169,431,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-23,text,true,3454,431,0
1449844344137,473,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-30,text,true,5730,471,0
1449844344148,462,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-24,text,true,3661,462,0
1449844344140,490,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,4185,490,0
1449844344156,478,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,3647,478,0
1449844344169,467,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-18,text,true,5310,467,0
1449844344183,607,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-22,text,true,3929,607,0
1449844344137,655,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-15,text,true,5406,655,0
1449844344140,654,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,3613,654,0
1449844344137,681,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-28,text,true,6945,681,0
1449844344136,686,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-27,text,true,9521,684,0
1449844344154,672,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,4291,672,0
1449844344152,686,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,3773,686,0
1449844344185,659,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-31,text,true,5826,657,0
1449844344166,685,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,4675,685,0
1449844344137,729,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-14,text,true,4776,729,0
1449844344183,803,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,3665,803,0
1449844344180,809,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,3347,809,0
1449844344138,859,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-25,text,true,4797,859,0
1449844344137,888,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,4622,888,0
1449844344187,862,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,8424,862,0
1449844344140,911,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-21,text,true,3569,911,0
1449844344134,970,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,5492,969,0
1449844344134,974,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-29,text,true,5497,973,0
1449844344165,943,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,4525,943,0
1449844344169,956,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-16,text,true,5892,956,0
1449844344140,1005,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-26,text,true,3177,1005,0
1449844348481,448,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,4428,448,0
1449844348451,480,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-31,text,true,5323,478,0
1449844348538,391,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-16,text,true,4518,391,0
1449844348545,384,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-14,text,true,4133,384,0
1449844348456,489,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,5591,487,0
1449844348499,458,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-32,text,true,4209,458,0
1449844348535,426,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,5406,426,0
1449844348479,485,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-19,text,true,8963,484,0
1449844348540,427,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,4099,427,0
1449844348469,615,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-29,text,true,11403,615,0
1449844348550,578,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,5516,578,0
1449844348529,611,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-15,text,true,3177,611,0
1449844348495,666,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-27,text,true,5716,666,0
1449844348500,665,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-33,text,true,6223,665,0
1449844348481,688,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-34,text,true,7726,688,0
1449844348494,677,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,5071,677,0
1449844348496,703,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,6118,703,0
1449844348485,717,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-26,text,true,11406,717,0
1449844348548,665,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,4048,665,0
1449844348448,809,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-21,text,true,3126,809,0
1449844348532,816,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-25,text,true,3665,816,0
1449844348448,933,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-36,text,true,6238,931,0
1449844348456,928,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-23,text,true,4287,928,0
1449844348524,874,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-22,text,true,4140,874,0
1449844348497,933,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,6287,933,0
1449844348495,942,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,4494,941,0
1449844348549,889,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,4033,889,0
1449844348482,957,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-28,text,true,3650,956,0
1449844348495,944,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-30,text,true,5188,944,0
1449844348462,999,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,13821,969,0
1449844348520,1050,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-24,text,true,4135,1050,0
1449844348497,1085,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,5960,1085,0
1449844348496,1090,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-35,text,true,5031,1090,0
1449844348530,1061,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-18,text,true,3158,1061,0
1449844348462,1145,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,8680,1144,0
1449844348495,1117,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,3274,1117,0
1449844352911,536,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-41,text,true,4098,536,0
1449844353020,429,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-29,text,true,6658,429,0
1449844352948,503,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,5322,503,0
1449844352998,449,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,3462,449,0
1449844352989,473,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,3890,473,0
1449844352947,516,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-27,text,true,6303,514,0
1449844353037,427,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-39,text,true,5618,427,0
1449844352962,517,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-30,text,true,5634,515,0
1449844352966,513,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-35,text,true,5746,513,0
1449844352961,581,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,11947,580,0
1449844352948,630,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-23,text,true,4148,630,0
1449844352915,763,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-25,text,true,4086,763,0
1449844352950,747,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-28,text,true,5653,747,0
1449844353040,658,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,5762,657,0
1449844352946,753,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-31,text,true,8954,753,0
1449844353005,712,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-26,text,true,4755,712,0
1449844352947,778,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,10233,777,0
1449844352956,785,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,6973,785,0
1449844352949,798,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-16,text,true,7340,798,0
1449844353023,727,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,5181,727,0
1449844352945,839,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-24,text,true,11227,837,0
1449844352946,925,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,8589,924,0
1449844353044,846,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,5108,846,0
1449844353036,868,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-40,text,true,5147,868,0
1449844353036,880,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-19,text,true,5259,880,0
1449844353009,947,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,4703,947,0
